id,genus-name,genus-qid,genus-qid-url,genus-ipni-id,genus-ipni-id-url,genus-wfo-id,genus-wfo-id-url,genus-wfo-status,genus-powo-status,author-std-abbreviation,author1-qid,author2-qid,author3-qid,author4-qid,author5-qid,author1-qid-url,author2-qid-url,author3-qid-url,author4-qid-url,author5-qid-url,author-country,author-gender,author-female-flag,author-count,protologue-reference,protologue-pub-year,family-name-wfo,eponymy-derived-indirectly,eponymy-name,eponymy-count,eponymy-yob,eponymy-yod,eponymy-lifespan,eponymy-occupation,eponymy-author-relationship,eponymy-is-real,eponymy-is-mythical,eponymy-country,eponymy1-qid,eponymy2-qid,eponymy1-qid-url,eponymy2-qid-url,protologue-url,protologue-eponymy-stated,protologue-dedication-text,eponymy-wikipedia-url,eponymy-bionomia-url
11,Aegialea,Q109278312,http://www.wikidata.org/entity/Q109278312,14608-1,https://www.ipni.org/n/14608-1,wfo-4000043783,https://list.worldfloraonline.org/wfo-4000043783,Unplaced,synonym of Pieris D.Don,Klotzsch,Q67003,,,,,http://www.wikidata.org/entity/Q67003,,,,,Germany,M,0,1,"W.G.Walpers, Ann. Bot. Syst. 2: 1113 (1852)",1852,Ericaceae,0,Aegiale,1,,,n/a,mythological figure,,0,1,,Q41311,,http://www.wikidata.org/entity/Q41311,,https://www.biodiversitylibrary.org/page/8111178,0,Not explained in original publication,https://en.wikipedia.org/wiki/Aegiale_(wife_of_Diomedes),Mythical person
12,Aegle,Q3090671,http://www.wikidata.org/entity/Q3090671,331323-2,https://www.ipni.org/n/331323-2,wfo-4000000761,https://list.worldfloraonline.org/wfo-4000000761,Accepted,accepted,Corrêa,Q2656605,,,,,http://www.wikidata.org/entity/Q2656605,,,,,Portugal,M,0,1,Trans. Linn. Soc. London 5: 222 (1800),1800,Rutaceae,0,Aegle,1,,,n/a,mythological figure (nymph),,0,1,,Q21272183,,http://www.wikidata.org/entity/Q21272183,,https://www.biodiversitylibrary.org/page/12897885,1,One of the Hesperides,No English Wikipedia article,Mythical person
13,Aeglopsis,Q527105,http://www.wikidata.org/entity/Q527105,35562-1,https://www.ipni.org/n/35562-1,wfo-4000000762,https://list.worldfloraonline.org/wfo-4000000762,Accepted,accepted,Swingle,Q378863,,,,,http://www.wikidata.org/entity/Q378863,,,,,USA,M,0,1,Mém. Soc. Bot. France 8: 237 (1912),1912,Rutaceae,0,Aegle,1,,,n/a,mythological figure,,0,1,,Q21272183,,http://www.wikidata.org/entity/Q21272183,,https://www.biodiversitylibrary.org/page/495623,0,Not explained in original publication,No English Wikipedia article,Mythical person
14,Aethusa,Q2274537,http://www.wikidata.org/entity/Q2274537,39623-1,https://www.ipni.org/n/39623-1,wfo-4000000828,https://list.worldfloraonline.org/wfo-4000000828,Accepted,accepted,L.,Q1043,,,,,http://www.wikidata.org/entity/Q1043,,,,,Sweden,M,0,1,Sp. Pl. 1: 256 (1753),1753,Apiaceae,0,Aethusa,1,,,n/a,mythological figure,,0,1,,Q15709147,,http://www.wikidata.org/entity/Q15709147,,https://www.biodiversitylibrary.org/page/358275,0,Not explained in original publication,https://en.wikipedia.org/wiki/Aethusa,Mythical person
15,Afrofittonia,Q4690281,http://www.wikidata.org/entity/Q4690281,360-1,https://www.ipni.org/n/360-1,wfo-4000000852,https://list.worldfloraonline.org/wfo-4000000852,Accepted,accepted,Lindau,Q66039,,,,,http://www.wikidata.org/entity/Q66039,,,,,Germany,M,0,1,Bot. Jahrb. Syst. 49(3-4): 406 (1913),1913,Acanthaceae,1,Sarah Mary Fitton,1,1796,1874,1796–1874,"writer, botanist",,1,0,Ireland,Q18528111,,http://www.wikidata.org/entity/Q18528111,,https://www.biodiversitylibrary.org/page/219231,0,"Not explained in original publication, but from Afro- & Fittonia, see Fittonia",https://en.wikipedia.org/wiki/Sarah_Mary_Fitton,https://bionomia.net/Q18528111
16,Aganippea,Q109277751,http://www.wikidata.org/entity/Q109277751,7500-1,https://www.ipni.org/n/7500-1,wfo-4000000886,https://list.worldfloraonline.org/wfo-4000000886,Unplaced,synonym of Jaegeria Kunth,Moc. & Sessé ex DC.,Q123057,,,,,http://www.wikidata.org/entity/Q123057,,,,,Switzerland,M,0,1,Prodr. 6: 3 (1838),1838,Asteraceae,0,Aganippe,1,,,n/a,mythological figure (nymph),,0,1,,Q390448,,http://www.wikidata.org/entity/Q390448,,https://www.biodiversitylibrary.org/page/149944,1,Aganippa erat mythologice nympha in fontem mutata.,https://en.wikipedia.org/wiki/Aganippe_(naiad),Mythical person
17,Agathaea,Q87141009,http://www.wikidata.org/entity/Q87141009,328007-2,https://www.ipni.org/n/328007-2,wfo-4000000910,https://list.worldfloraonline.org/wfo-4000000910,Unplaced,synonym of Felicia Cass.,Cass.,Q958431,,,,,http://www.wikidata.org/entity/Q958431,,,,,France,M,0,1,Bull. Sci. Soc. Philom. Paris 1815: 175 (1815),1815,Asteraceae,0,Cathérine Elisabeth Agathe Cassini,1,1783,1861,1783–1861,unknown,"wife of the author, botanist Henri Cassini",1,0,France,Q106851188,,http://www.wikidata.org/entity/Q106851188,,https://www.biodiversitylibrary.org/page/4690982,0,Not explained in original publication,No English Wikipedia article,https://bionomia.net/Q106851188
18,Agave,Q155874,http://www.wikidata.org/entity/Q155874,325900-2,https://www.ipni.org/n/325900-2,wfo-4000000928,https://list.worldfloraonline.org/wfo-4000000928,Accepted,accepted,L.,Q1043,,,,,http://www.wikidata.org/entity/Q1043,,,,,Sweden,M,0,1,Sp. Pl. 1: 323 (1753),1753,Asparagaceae,0,Agave,1,,,n/a,mythological figure (Greek mythology),,0,1,,Q381459,,http://www.wikidata.org/entity/Q381459,,https://www.biodiversitylibrary.org/page/358342,0,Not explained in original publication,https://en.wikipedia.org/wiki/Agave_of_Thebes,Mythical person
19,Agiortia,Q4692599,http://www.wikidata.org/entity/Q4692599,77070453-1,https://www.ipni.org/n/77070453-1,wfo-4001303110,https://list.worldfloraonline.org/wfo-4001303110,Accepted,accepted,Quinn,Q14184327,,,,,http://www.wikidata.org/entity/Q14184327,,,,,Australia,M,0,1,Austral. Syst. Bot. 18(5): 450 (2005),2005,Ericaceae,0,Despina Agioritis,1,1927,1994,1927–1994,botanist,friend of author,1,0,Australia,Q106851371,,http://www.wikidata.org/entity/Q106851371,,https://doi.org/10.1071/SB05005,1,"Named in honour of the late Mrs. Peggie Agior-Tis, long time friend and resident of Innisfail, North Queensland. Pronounced with even accent on syllables: 'ag' soft, like 'azh'; 'ior' as 'wah'; 'tia' as 'tee-ah'.",No English Wikipedia article,https://bionomia.net/Q106851371
20,Aglaia,Q734343,http://www.wikidata.org/entity/Q734343,331328-2,https://www.ipni.org/n/331328-2,wfo-4000000950,https://list.worldfloraonline.org/wfo-4000000950,Accepted,accepted,Lour.,Q729917,,,,,http://www.wikidata.org/entity/Q729917,,,,,Portugal,M,0,1,"Fl. Cochinch. 1: 98, 173 (1790)",1790,Meliaceae,0,Aglaia (Aglaea),1,,,n/a,goddess (one of the three Graces/Charites; Greek mythology),,0,1,,Q4439972,,http://www.wikidata.org/entity/Q4439972,,https://www.biodiversitylibrary.org/page/653297,0,Not explained in original publication,https://en.wikipedia.org/wiki/Aglaea,Mythical person
