taxonID,Rank,name,genus,species
wfo-0001303806,species,sarniense,Limonium,
wfo-0001303658,species,issaeum,Limonium,
wfo-0001304102,species,erinacea,Statice,
wfo-0001303603,species,flexuosum,Limonium,
wfo-0001303242,species,eriophila,Armeria,
wfo-0001303516,species,brasiliense,Limonium,
wfo-0001303445,species,dolcheri,Limonium,
wfo-0001304090,species,drepanostachya,Statice,
wfo-0001304348,species,purpurata,Statice,
wfo-0001304364,species,scoparia,Statice,
wfo-0001303769,species,proliferum,Limonium,
wfo-0001303331,species,pseudarmeria,Armeria,
wfo-0001304451,species,aegyptiacum,Taxanthema,
wfo-0001304360,species,scabra,Statice,
wfo-0001303973,species,aphylla,Statice,
wfo-0001303134,species,oopodum,Acantholimon,
wfo-0001303480,species,aureum,Limonium,
wfo-0001303941,species,dyerophyta,Plumbago,
wfo-0001304274,species,monregalensis,Statice,
wfo-0001303716,species,multiceps,Limonium,
wfo-0001303779,species,purpuratum,Limonium,
wfo-0001303037,species,moradii,Acantholimon,
wfo-0001303033,species,gmelinii,Statice,
wfo-0001304358,species,scabra,Statice,
wfo-0001303095,species,demawendicum,Acantholimon,
wfo-0001304363,species,scoparia,Statice,
wfo-0001304353,species,roborowskii,Statice,
wfo-0001304088,species,donetzica,Statice,
wfo-0001303697,species,milovicii,Limonium,
wfo-0001303049,species,splendens,Armeria,
wfo-0001303171,species,pilariae,Armeria,
wfo-0001304189,species,laeta,Statice,
wfo-0001303786,species,recurviforme,Limonium,
wfo-0001303112,species,hausknechti,Acantholimon,
wfo-0001304408,species,spiridonowii,Statice,
wfo-0001304079,species,dianiae,Statice,
wfo-0001304242,species,manricarum,Statice,
wfo-0001303514,species,botschantzevii,Limonium,
wfo-0001303677,species,leprosorum,Limonium,
wfo-0001303542,species,celticum,Limonium,
wfo-0001303971,species,amblyoloba,Statice,
wfo-0001303063,species,akaydinii,Acantholimon,
wfo-0001303036,species,usticanum,Limonium,
wfo-0001304257,species,minuta,Statice,
wfo-0001304259,species,minuta,Statice,
wfo-0001303628,species,grandicaule,Limonium,
wfo-0001303687,species,macrophyllum,Limonium,
wfo-0001304167,species,holfordii,Statice,
wfo-0001303803,species,sabulicola,Limonium,
wfo-0001303718,species,mutatum,Limonium,
wfo-0001303094,species,davisii,Acantholimon,
wfo-0001303890,species,tobarrense,Limonium,
wfo-0001304086,species,diffusa,Statice,
wfo-0001303655,species,intercedens,Limonium,
wfo-0001303233,species,chouletteana,Armeria,
wfo-0001303885,species,teretifolium,Limonium,
wfo-0001303411,species,africanum,Goniolimon,
wfo-0001304244,species,manriqueorum,Statice,
wfo-0001303470,species,arboreum,Limonium,
wfo-0001303118,species,hystrix,Acantholimon,
wfo-0001303532,species,cambrense,Limonium,
wfo-0001303477,species,athinense,Limonium,
wfo-0001303408,species,thomsonii,Dictyolimon,
wfo-0001303543,species,chersonesum,Limonium,
wfo-0001303587,species,dolihiense,Limonium,
wfo-0001304304,species,plantaginea,Statice,
wfo-0001303309,species,pantocsekii,Armeria,
wfo-0001303469,species,arboreum,Limonium,
wfo-0001303264,species,longifolia,Armeria,
wfo-0001303881,species,tenellum,Limonium,
wfo-0001303225,species,castrovalnerana,Armeria,
wfo-0001303661,species,jarmolenkoi,Limonium,
wfo-0001304063,species,cuneata,Statice,
wfo-0001304287,species,oleifolia,Statice,
wfo-0001303775,species,pseudoparadoxum,Limonium,
wfo-0001304016,species,bellidifolia,Statice,
wfo-0001304163,species,halfordii,Statice,
wfo-0001303622,species,graeca,Limonium,
wfo-0001304362,species,schirasiana,Statice,
wfo-0001303570,species,dagmarae,Limonium,
wfo-0001304051,species,cordata,Statice,
wfo-0001303475,species,astipaleanum,Limonium,
wfo-0001303097,species,echinus,Acantholimon,
wfo-0001304199,species,limonium,Statice,
wfo-0001303937,species,auriculata,Plumbago,
wfo-0001303776,species,pseudotranswallianum,Limonium,
wfo-0001303236,species,denticulata,Armeria,
wfo-0001304198,species,limonium,Statice,
wfo-0001303943,species,ituriensis,Plumbago,
wfo-0001303035,species,tomentella,Statice,
wfo-0001303664,species,kimmericum,Limonium,
wfo-0001303670,species,ladikanum,Limonium,
wfo-0001303746,species,paramedium,Limonium,
wfo-0001303610,species,ginae,Limonium,
wfo-0001304225,species,littoralis,Statice,
wfo-0001303785,species,recticaule,Limonium,
wfo-0001304288,species,oligantha,Statice,
wfo-0001303101,species,gemicianum,Acantholimon,
wfo-0001303723,species,obesifolium,Limonium,
wfo-0001303217,species,canescens,Armeria,
wfo-0001303889,species,tineoi,Limonium,
wfo-0001303756,species,pharosianum,Limonium,
wfo-0001304208,species,limonium,Statice,
wfo-0001303549,species,confusum,Limonium,
wfo-0001304074,species,delilei,Statice,
wfo-0001303585,species,didimense,Limonium,
wfo-0001303936,species,arabica,Plumbago,
wfo-0001303717,species,mutabile,Limonium,
wfo-0001303590,species,duriusculum,Limonium,
wfo-0001303644,species,ikonnikovii-galitzkyi,Limonium,
wfo-0001303807,species,sartorianum,Limonium,
wfo-0001303209,species,belgenciensis,Armeria,
wfo-0001303640,species,hibernicum,Limonium,
wfo-0001303643,species,ikaricum,Limonium,
wfo-0001303802,species,rosselloi,Limonium,
wfo-0001303927,species,thouinii,Linczevskia,
wfo-0001303481,species,aureum,Limonium,
wfo-0001303700,species,minutum,Limonium,
wfo-0001303758,species,pomelianum,Limonium,
wfo-0001304184,species,juncea,Statice,
wfo-0001304350,species,reticulata,Statice,
wfo-0001303604,species,flexuosum,Limonium,
wfo-0001304399,species,speciosa,Statice,
wfo-0001303417,species,salicorniaceum,Goniolimon,
wfo-0001303999,species,articulata,Statice,
wfo-0001303923,species,xerocamposicum,Limonium,
wfo-0001304135,species,gmelini,Statice,
wfo-0001304048,species,confusa,Statice,
wfo-0001304052,species,cordata,Statice,
wfo-0001304008,species,beaumierana,Statice,
wfo-0001303777,species,puberulum,Limonium,
wfo-0001303856,species,spreitzenhoferi,Limonium,
wfo-0001303924,species,xiliense,Limonium,
wfo-0001304452,species,carolinianum,Taxanthema,
wfo-0001303883,species,tenuiculum,Limonium,
wfo-0001304455,species,artelariae,Limonium,
wfo-0001303444,species,albuferae,Limonium,
wfo-0001303666,species,kobstanicum,Limonium,
wfo-0001303761,species,portlandicum,Limonium,
wfo-0001303418,species,severzovii,Goniolimon,
wfo-0001303688,species,maritimum,Limonium,
wfo-0001303684,species,lobatum,Limonium,
wfo-0001303876,species,taenari,Limonium,
wfo-0001303663,species,kerryense,Limonium,
wfo-0001304354,species,rorida,Statice,
wfo-0001303674,species,latebracteatum,Limonium,
wfo-0001303471,species,archaeothirae,Limonium,
wfo-0001304075,species,densiflora,Statice,
wfo-0001304124,species,glauca,Statice,
wfo-0001303554,species,coombense,Limonium,
wfo-0001303939,species,cocanex,Plumbago,
wfo-0001304270,species,minuta,Statice,
wfo-0001303665,species,kirikosicum,Limonium,
wfo-0001304132,species,globulariifolia,Statice,
wfo-0001303724,species,oblongifolium,Limonium,
wfo-0001303464,species,anglicum,Limonium,
wfo-0001303605,species,fradinianum,Limonium,
wfo-0001303485,species,aurigniense,Limonium,
wfo-0001304394,species,spathulata,Statice,
wfo-0001304149,species,gmelinii,Statice,
wfo-0001303414,species,gorczakovskyi,Goniolimon,
wfo-0001303553,species,contractum,Limonium,
wfo-0001303476,species,astypaleanum,Limonium,
wfo-0001303415,species,kaufmannianum,Goniolimon,
wfo-0001303805,species,sanctamargaritense,Limonium,
wfo-0001303205,species,baltica,Armeria,
wfo-0001303172,species,albi,Armeria,
wfo-0001303196,species,arenaria,Armeria,
wfo-0001303953,species,virginica,Plumbago,
wfo-0001304153,species,graeca,Statice,
wfo-0001303258,species,juniperifolia,Armeria,
wfo-0001303595,species,echinus,Limonium,
wfo-0001303240,species,elongata,Armeria,
wfo-0001304271,species,minuta,Statice,
wfo-0001303742,species,pagasaeum,Limonium,
wfo-0001303781,species,pusillum,Limonium,
wfo-0001303052,species,caryophyllacea,Statice,
wfo-0001304034,species,calcarae,Statice,
wfo-0001303679,species,liburnicum,Limonium,
wfo-0001304180,species,incana,Statice,
wfo-0001303675,species,latifolium,Limonium,
wfo-0001303530,species,calcicola,Limonium,
wfo-0001304054,species,cordata,Statice,
wfo-0001303690,species,meandrinum,Limonium,
wfo-0001303884,species,tenuiculum,Limonium,
wfo-0001303897,species,trinajsticii,Limonium,
wfo-0001303642,species,ifniensis,Limonium,
wfo-0001303540,species,cazzae,Limonium,
wfo-0001304089,species,drepanense,Statice,
wfo-0001303701,species,minutum,Limonium,
wfo-0001304256,species,minuta,Statice,
wfo-0001303648,species,incertum,Limonium,
wfo-0001303638,species,helenae,Limonium,
wfo-0001303589,species,duriaei,Limonium,
wfo-0001303409,species,socotranum,Dyerophytum,
wfo-0001303850,species,sirinicum,Limonium,
wfo-0001304012,species,bellidifolia,Statice,
wfo-0001303873,species,suwarowii,Limonium,
wfo-0001303646,species,imbricatum,Limonium,
wfo-0001303537,species,caspium,Limonium,
wfo-0001303607,species,fruticans,Limonium,
wfo-0001303074,species,balansae,Acantholimon,
wfo-0001304330,species,pseud-armeria,Statice,
wfo-0001303446,species,fraternum,Limonium,
wfo-0001303945,species,pendula,Plumbago,
wfo-0001303133,species,manakyanii,Acantholimon,
wfo-0001303515,species,brasiliense,Limonium,
wfo-0001303683,species,linifolium,Limonium,
wfo-0001303448,species,virgatoformis,Limonium,
wfo-0001303689,species,marmarisense,Limonium,
wfo-0001304240,species,major,Statice,
wfo-0001303935,species,americana,Plumbago,
wfo-0001303963,species,girardianoides,Statice,
wfo-0001303608,species,giberti,Limonium,
wfo-0001303918,species,woolacombense,Limonium,
wfo-0001303230,species,cespitosa,Armeria,
wfo-0001303641,species,iconicum,Limonium,
wfo-0001303465,species,angustebracteatum,Limonium,
wfo-0001303155,species,sogdianum,Acantholimon,
wfo-0001303459,species,admirabile,Limonium,
wfo-0001303979,species,armeria,Statice,
wfo-0001303833,species,serotinum,Limonium,
wfo-0001303154,species,shahrudicum,Acantholimon,
wfo-0001304119,species,giberti,Statice,
wfo-0001303147,species,saadii,Acantholimon,
wfo-0001303612,species,girardianum,Limonium,
wfo-0001303851,species,smithii,Limonium,
wfo-0001303371,species,scorzonerifolia,Armeria,
wfo-0001303385,species,vulgaris,Armeria,
wfo-0001303307,species,nuriensis,Armeria,
wfo-0001303571,species,davisii,Limonium,
wfo-0001303460,species,aegaeum,Limonium,
wfo-0001303656,species,irtaense,Limonium,
wfo-0001303416,species,krylovii,Goniolimon,
wfo-0001304366,species,scoparia,Statice,
wfo-0001303770,species,pruinosum,Limonium,
wfo-0001304284,species,oleifolia,Statice,
wfo-0001304053,species,cordata,Statice,
wfo-0001304174,species,incana,Statice,
wfo-0001303870,species,supinum,Limonium,
wfo-0001303529,species,busianum,Limonium,
wfo-0001303747,species,parosicum,Limonium,
wfo-0001303158,species,takhtajanii,Acantholimon,
wfo-0001303235,species,daveaui,Armeria,
wfo-0001304393,species,spathulata,Statice,
wfo-0001304019,species,besseriana,Statice,
wfo-0001303043,species,brassicifolia,Statice,
wfo-0001303584,species,devoniense,Limonium,
wfo-0001304182,species,juncea,Statice,
wfo-0001304057,species,coriaria,Statice,
wfo-0001304390,species,spathulata,Statice,
wfo-0001303313,species,plantaginea,Armeria,
wfo-0001304187,species,klementzii,Statice,
wfo-0001303611,species,ginzbergeri,Limonium,
wfo-0001303304,species,montana,Armeria,
wfo-0001304297,species,paui,Statice,
wfo-0001303944,species,littoralis,Plumbago,
wfo-0001303559,species,crateriforme,Limonium,
wfo-0001304278,species,nuda,Statice,
wfo-0001304122,species,glauca,Statice,
wfo-0001304123,species,glauca,Statice,
wfo-0001304235,species,maeotica,Statice,
wfo-0001303662,species,kelseyanum,Limonium,
wfo-0001304276,species,nebrodensis,Statice,
wfo-0001304156,species,graminifolia,Statice,
wfo-0001304046,species,cespitosa,Statice,
wfo-0001303972,species,amblyoloba,Statice,
wfo-0001303039,species,quettensis,Acantholimon,
wfo-0001303204,species,asperrima,Armeria,
wfo-0001303637,species,haitiense,Limonium,
wfo-0001303265,species,magna,Armeria,
wfo-0001304245,species,manriquorum,Statice,
wfo-0001303126,species,laxiflorum,Acantholimon,
wfo-0001304359,species,scabra,Statice,
wfo-0001303531,species,californicum,Limonium,
wfo-0001304033,species,caespitosa,Statice,
wfo-0001303311,species,piorum,Armeria,
wfo-0001304253,species,melanantha,Statice,
wfo-0001304405,species,spicata,Statice,
wfo-0001303541,species,cedrorum,Limonium,
wfo-0001303096,species,diapensioides,Acantholimon,
wfo-0001303251,species,grajoana,Armeria,
wfo-0001304332,species,pseudoarmeria,Statice,
wfo-0001303877,species,tanaiticum,Limonium,
wfo-0001303169,species,carnotana,Armeria,
wfo-0001303210,species,belgenciensis,Armeria,
wfo-0001303569,species,dagmarae,Limonium,
wfo-0001303038,species,flabellum,Acantholimon,
wfo-0001304351,species,reticulata,Statice,
wfo-0001303092,species,coarctatum,Acantholimon,
wfo-0001303925,species,zankii,Limonium,
wfo-0001303401,species,peroninii,Armeriastrum,
wfo-0001304050,species,cordata,Statice,
wfo-0001303588,species,donegalense,Limonium,
wfo-0001304282,species,oleifolia,Statice,
wfo-0001304395,species,spathulata,Statice,
wfo-0001304389,species,sommieriana,Statice,
wfo-0001303895,species,transcanalis,Limonium,
wfo-0001303466,species,angustifolium,Limonium,
wfo-0001304254,species,minuta,Statice,
wfo-0001303757,species,pignattii,Limonium,
wfo-0001304175,species,incana,Statice,
wfo-0001303967,species,alleizettei,Statice,
wfo-0001303462,species,altum,Limonium,
wfo-0001304190,species,lanceolata,Statice,
wfo-0001303864,species,subnudum,Limonium,
wfo-0001303136,species,pinardi,Acantholimon,
wfo-0001303113,species,hellwigii,Acantholimon,
wfo-0001304436,species,virgata,Statice,
wfo-0001304116,species,gaditana,Statice,
wfo-0001304172,species,hystrix,Statice,
wfo-0001303831,species,secundirameum,Limonium,
wfo-0001303657,species,isidorum,Limonium,
wfo-0001303533,species,cantianum,Limonium,
wfo-0001304067,species,delicatula,Statice,
wfo-0001304002,species,axillaris,Statice,
wfo-0001303606,species,fragile,Limonium,
wfo-0001303759,species,pomoense,Limonium,
wfo-0001303121,species,karabajeviorum,Acantholimon,
wfo-0001304060,species,crispa,Statice,
wfo-0001303166,species,zakirovii,Acantholimon,
wfo-0001303691,species,medium,Limonium,
wfo-0001304437,species,virgata,Statice,
wfo-0001303308,species,orophila,Armeria,
wfo-0001303964,species,profusa,Statice,
wfo-0001303244,species,filicaulis,Armeria,
wfo-0001303882,species,tenuicolum,Limonium,
wfo-0001303887,species,thirae,Limonium,
wfo-0001303659,species,istriacum,Limonium,
wfo-0001303678,species,liberianum,Limonium,
wfo-0001304101,species,emarginata,Statice,
wfo-0001304128,species,globulariifolia,Statice,
wfo-0001304113,species,flexuosa,Statice,
wfo-0001303127,species,laxiusculum,Acantholimon,
wfo-0001303645,species,ilergabonum,Limonium,
wfo-0001303858,species,steppicum,Limonium,
wfo-0001303832,species,sercquense,Limonium,
wfo-0001303672,species,lagostanum,Limonium,
wfo-0001303960,species,baetica,Reverchonia,
wfo-0001304125,species,globulariaefolia,Statice,
wfo-0001303977,species,arborescens,Statice,
wfo-0001304246,species,maritima,Statice,
wfo-0001304357,species,sanjurjoi,Statice,
wfo-0001304197,species,limonium,Statice,
wfo-0001304442,species,vulgaris,Statice,
wfo-0001303733,species,oligotrichum,Limonium,
wfo-0001304186,species,juniperifolia,Statice,
wfo-0001304115,species,furfuracea,Statice,
wfo-0001304066,species,czurjukiensis,Statice,
wfo-0001304024,species,bonduellii,Statice,
wfo-0001303857,species,stenotatum,Limonium,
wfo-0001304352,species,rigida,Statice,
wfo-0001303809,species,schinousae,Limonium,
wfo-0001303734,species,omissae,Limonium,
wfo-0001304109,species,filicaulis,Statice,
wfo-0001303934,species,africana,Plumbago,
wfo-0001303075,species,blakelackii,Acantholimon,
wfo-0001304409,species,stephani,Statice,
wfo-0001303903,species,velutinum,Limonium,
wfo-0001304219,species,linifolia,Statice,
wfo-0001303621,species,grabusae,Limonium,
wfo-0001303647,species,incanum,Limonium,
wfo-0001304045,species,catanensis,Statice,
wfo-0001303859,species,subanfractum,Limonium,
wfo-0001303698,species,minoicum,Limonium,
wfo-0001303043,species,tulakensis,Acantholimon,
wfo-0001303560,species,croaticum,Limonium,
wfo-0001303755,species,pharense,Limonium,
wfo-0001304001,species,articulata,Statice,
wfo-0001303667,species,korakonisicum,Limonium,
wfo-0001304173,species,incana,Statice,
wfo-0001303197,species,arenaria,Armeria,
wfo-0001304328,species,pruinosa,Statice,
wfo-0001303660,species,japygicum,Limonium,
wfo-0001304243,species,manricarum,Statice,
wfo-0001304134,species,gmelini,Statice,
wfo-0001303852,species,sougiae,Limonium,
wfo-0001303810,species,scoparium,Limonium,
wfo-0001303041,species,saravschanicum,Acantholimon,
wfo-0001303808,species,saxonicum,Limonium,
wfo-0001303617,species,gmelinii,Limonium,
wfo-0001303128,species,limbatum,Acantholimon,
wfo-0001303472,species,archeothirae,Limonium,
wfo-0001303966,species,alba,Statice,
wfo-0001303782,species,quinnii,Limonium,
wfo-0001304064,species,cylindrica,Statice,
wfo-0001303032,species,fortunei,Statice,
wfo-0001303907,species,vravronense,Limonium,
wfo-0001303875,species,tabulare,Limonium,
wfo-0001304112,species,flexuosa,Statice,
wfo-0001303696,species,microcycladicum,Limonium,
wfo-0001303669,species,kurgantjubense,Limonium,
wfo-0001303902,species,vanandense,Limonium,
wfo-0001303855,species,speciosum,Limonium,
wfo-0001304196,species,limonioides,Statice,
wfo-0001303942,species,hunsbergensis,Plumbago,
wfo-0001304007,species,beaumierana,Statice,
wfo-0001303598,species,echoideum,Limonium,
wfo-0001303682,species,limonium,Limonium,
wfo-0001303926,species,sinuata,Linczevskia,
wfo-0001304331,species,pseudoarmeria,Statice,
wfo-0001304013,species,bellidifolia,Statice,
wfo-0001303673,species,lajaconi,Limonium,
wfo-0001303050,species,multiforme,Limonium,
wfo-0001304398,species,spathulata,Statice,
wfo-0001303715,species,mucronatum,Limonium,
wfo-0001304027,species,brasiliensis,Statice,
wfo-0001304152,species,gracilis,Statice,
wfo-0001303447,species,rossmaessleri,Limonium,
wfo-0001304223,species,littoralis,Statice,
wfo-0001303463,species,amopicum,Limonium,
wfo-0001303419,species,sewerzovii,Goniolimon,
wfo-0001303801,species,rhodense,Limonium,
wfo-0001304241,species,manricarum,Statice,
wfo-0001303212,species,biguerrensis,Armeria,
wfo-0001303940,species,coerulea,Plumbago,
wfo-0001303555,species,cornubiense,Limonium,
wfo-0001304108,species,ferganensis,Statice,
wfo-0001304150,species,gobica,Statice,
wfo-0001303830,species,secundirameum,Limonium,
wfo-0001303034,species,multiramea,Statice,
wfo-0001303778,species,pubescens,Limonium,
wfo-0001304279,species,ocimifolia,Statice,
wfo-0001303478,species,atticum,Limonium,
wfo-0001304176,species,incana,Statice,
wfo-0001303305,species,mulleri,Armeria,
wfo-0001303685,species,lovricii,Limonium,
wfo-0001304230,species,lychnidifolia,Statice,
wfo-0001303378,species,trigonoides,Armeria,
wfo-0001303711,species,monolithicum,Limonium,
wfo-0001303624,species,graecum,Limonium,
wfo-0001304151,species,gougetiana,Statice,
wfo-0001304283,species,oleifolia,Statice,
wfo-0001303461,species,albarracinense,Limonium,
wfo-0001304168,species,humilis,Statice,
wfo-0001304355,species,ruscinonensis,Statice,
wfo-0001303135,species,peroninii,Acantholimon,
wfo-0001303373,species,seticeps,Armeria,
wfo-0001304454,species,salangensis,Acantholimon,
wfo-0001303623,species,graecum,Limonium,
wfo-0001303528,species,brusnicense,Limonium,
wfo-0001304170,species,hypanica,Statice,
wfo-0001304107,species,faustii,Statice,
wfo-0001303111,species,hamadannicum,Acantholimon,
wfo-0001303946,species,rhombifolia,Plumbago,
wfo-0001304365,species,scoparia,Statice,
wfo-0001304258,species,minuta,Statice,
wfo-0001304326,species,potaninii,Statice,
wfo-0001303719,species,naniforme,Limonium,
wfo-0001304188,species,laeta,Statice,
wfo-0001303213,species,boetica,Armeria,
wfo-0001303156,species,spinosum,Acantholimon,
wfo-0001303916,species,wessexense,Limonium,
wfo-0001303668,species,ksamilum,Limonium,
wfo-0001304058,species,corymbulosa,Statice,
wfo-0001303332,species,pseud-armeria,Armeria,
wfo-0001303467,species,aragonense,Limonium,
wfo-0001303959,species,suvorovii,Psylliostachys,
wfo-0001303548,species,compactum,Limonium,
wfo-0001303860,subgenus,Limonium,Limonium,
wfo-0001304414,subgenus,Pterocladus,Statice,
wfo-0001304415,subgenus,Schizopetalum,Statice,
wfo-0001303861,subgenus,Myriolepis,Limonium,
wfo-0001304412,subgenus,Psylliostachys,Statice,
wfo-0001303442,subgenus,Bubania,Limoniastrum,
wfo-0001304411,subgenus,Limonium,Statice,
wfo-0001303863,subgenus,Pterocladus,Limonium,
wfo-0001304410,subgenus,Armeriastrum,Statice,
wfo-0001304413,subgenus,Pterocladus,Statice,
wfo-0001303862,subgenus,Pterocladus,Limonium,
wfo-0001303866,subsection,Odontolepidea,Limonium,
wfo-0001303868,subsection,Pruinosa,Limonium,
wfo-0001303867,subsection,Odontolepidea,Limonium,
wfo-0001303865,subsection,Nobilia,Limonium,
wfo-0001304416,subsection,Genuinae,Statice,
wfo-0001304419,subsection,Sphaerostachys,Statice,
wfo-0001304036,subspecies,pubinervis,Statice,cantabrica
wfo-0001303632,subspecies,gummiferum,Limonium,gummiferum
wfo-0001304099,subspecies,exaristata,Statice,echioides
wfo-0001303704,subspecies,aragonense,Limonium,minutum
wfo-0001303738,subspecies,lanceolatum,Limonium,ovalifolium
wfo-0001303263,subspecies,leucocephala,Armeria,leucocephala
wfo-0001303575,subspecies,eu-delicatulum,Limonium,delicatulum
wfo-0001303789,subspecies,pseudotranswallianum,Limonium,recurvum
wfo-0001303651,subspecies,insigne,Limonium,insigne
wfo-0001303452,subspecies,bosanum,Limonium,acutifolium
wfo-0001303564,subspecies,cymuliferum,Limonium,cymuliferum
wfo-0001303220,subspecies,ruscinonensis,Armeria,canescens
wfo-0001303252,subspecies,hispalensis,Armeria,hirta
wfo-0001303500,subspecies,anglicum,Limonium,binervosum
wfo-0001303573,subspecies,angustibracteatum,Limonium,delicatulum
wfo-0001303262,subspecies,belmontei,Armeria,langei
wfo-0001303175,subspecies,praecox,Armeria,alliacea
wfo-0001303310,subspecies,macrophylla,Armeria,pinifolia
wfo-0001303726,subspecies,bellidifolium,Limonium,ocymifolium
wfo-0001303091,subspecies,parviflorum,Acantholimon,caryophyllaceum
wfo-0001303224,subspecies,carpetana,Armeria,carpetana
wfo-0001303369,subspecies,sardoa,Armeria,sardoa
wfo-0001303320,subspecies,plantaginea,Armeria,plantaginea
