taxonID,Rank,name,genus,species
wfo-0001303400,family,Armeriaceae,,
wfo-0001303439,family,Limoniaceae,,
wfo-0001303615,form,laxiflorum,Limonium,gmelini
wfo-0001303938,form,alba,Plumbago,capensis
wfo-0001304133,form,steiroclada,Statice,gmelini
wfo-0001303179,form,conchensis,Armeria,alpina
wfo-0001303366,form,temskyana,Armeria,rumelica
wfo-0001303364,form,elongata,Armeria,rigida
wfo-0001303268,form,onsiensis,Armeria,maritima
wfo-0001303921,form,albolutescens,Limonium,wrightii
wfo-0001303839,form,pallidum,Limonium,sinuatum
wfo-0001304009,form,leucocalyx,Statice,beaumieriana
wfo-0001304194,form,pomeliana,Statice,leptostachya
wfo-0001303948,form,erecta,Plumbago,scandens
wfo-0001303141,form,condensatum,Acantholimon,pulchellum
wfo-0001303975,form,frutescens,Statice,arborea
wfo-0001303838,form,leucocalyx,Limonium,sinuatum
wfo-0001304158,form,corymbulosa,Statice,gummifera
wfo-0001304367,form,glomerata,Statice,sebkarum
wfo-0001303922,form,arbusculum,Limonium,wrightii
wfo-0001303557,form,tabernense,Limonium,cossonianum
wfo-0001303920,form,albescens,Limonium,wrightii
wfo-0001303896,form,albiflorum,Limonium,trichogonum
wfo-0001303974,form,glomerata,Statice,arabica
wfo-0001304003,form,attenuata,Statice,axillaris
wfo-0001303513,form,gigantifolia,Limonium,bonduellei
wfo-0001304255,form,puberula,Statice,minuta
wfo-0001303702,form,puberulum,Limonium,minutum
wfo-0001304368,form,macrolepis,Statice,sebkarum
wfo-0001304068,form,pomeliana,Statice,delicatula
wfo-0001303908,form,pyramidale,Limonium,vulgare
wfo-0001303720,form,albiflorum,Limonium,nashii
wfo-0001303919,form,wrightii,Limonium,wrightii
wfo-0001303449,form,pseudovirgatum,Limonium,virgolsii
wfo-0001303180,form,conquensis,Armeria,alpina
wfo-0001303241,form,rostellata,Armeria,elongata
wfo-0001303363,form,asperrima,Armeria,rigida
wfo-0001303958,genus,Polyanthemum,,
wfo-0001303403,genus,Caballeroa,,
wfo-0001303962,genus,Statice,,
wfo-0001303051,genus,Limonium,,
wfo-0001303928,genus,Linczevskia,,
wfo-0001303405,genus,Cephalorrhizum,,
wfo-0001303961,genus,Reverchonia,,
wfo-0001303410,genus,Findlaya,,
wfo-0001303929,genus,Myriolepis,,
wfo-0001303168,genus,Aegialitis,,
wfo-0001303812,section,Circinaria,Limonium,
wfo-0001303822,section,Pruinosa,Limonium,
wfo-0001303826,section,Schizhymenium,Limonium,
wfo-0001303824,section,Sarcophylla,Limonium,
wfo-0001304373,section,Jovibarba,Statice,
wfo-0001303823,section,Pterocladus,Limonium,
wfo-0001303151,section,Chaetolimon,Acantholimon,
wfo-0001303819,section,Nephrophyllum,Limonium,
wfo-0001303817,section,Limonium,Limonium,
wfo-0001303820,section,Plathymenium,Limonium,
wfo-0001303816,section,Limoniodendron,Limonium,
wfo-0001303829,section,Tenuiramosa,Limonium,
wfo-0001304379,section,Schizhymenium,Statice,
wfo-0001304377,section,Pteroclados,Statice,
wfo-0001303827,section,Siphonantha,Limonium,
wfo-0001303815,section,Jovibarba,Limonium,
wfo-0001304375,section,Plathymenium,Statice,
wfo-0001304372,section,Goniolimon,Statice,
wfo-0001304378,section,Pterocladus,Statice,
wfo-0001304374,section,Myriolepis,Statice,
wfo-0001304380,section,Schizopetalum,Statice,
wfo-0001304371,section,Ctenostachys,Statice,
wfo-0001304370,section,Circinaria,Statice,
wfo-0001304381,section,Siphonantha,Statice,
wfo-0001303828,section,Sphaerostachys,Limonium,
wfo-0001304382,section,Tropidice,Statice,
wfo-0001303818,section,Myriolepis,Limonium,
wfo-0001303404,section,Sarcophyllastrum,Cephalorhizum,
wfo-0001303825,section,Sarcophyllum,Limonium,
wfo-0001303821,section,Polyarthrion,Limonium,
wfo-0001303441,section,Bubania,Limoniastrum,
wfo-0001303814,section,Iranolimon,Limonium,
wfo-0001304376,section,Polyarthrion,Statice,
wfo-0001303813,section,Ctenostachys,Limonium,
wfo-0001303237,species,duriaei,Armeria,
wfo-0001303804,species,samium,Limonium,
wfo-0001304026,species,brasiliensis,Statice,
wfo-0001303583,species,densiflorum,Limonium,
wfo-0001303119,species,ibrahimii,Acantholimon,
wfo-0001304361,species,scabra,Statice,
wfo-0001304114,species,flexuosa,Statice,
wfo-0001304047,species,collina,Statice,
wfo-0001303170,species,cintrana,Armeria,
wfo-0001303774,species,pseudodictyocladum,Limonium,
wfo-0001303639,species,heraionense,Limonium,
wfo-0001303748,species,paui,Limonium,
wfo-0001303042,species,tragacanthium,Acantholimon,
wfo-0001303215,species,bupleuroides,Armeria,
wfo-0001303754,species,pelagosae,Limonium,
wfo-0001304388,species,soleirolii,Statice,
wfo-0001303917,species,willdenowii,Limonium,
wfo-0001303888,species,thymoides,Limonium,
wfo-0001303834,species,serpentinicum,Limonium,
wfo-0001304192,species,leptoloba,Statice,
wfo-0001303143,species,riyatguelii,Acantholimon,
wfo-0001304327,species,profusa,Statice,
wfo-0001303479,species,augustatum,Limonium,
wfo-0001303132,species,maewskianum,Acantholimon,
